Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Clim_ID,time
CRESTOMERE AGCM,52.733,-113.903,AB,-9.4,5,NA,10.1,5,-24.7,0,,,NA,4.6,6,NA,,2,,,NA,711.4,0.0,3011892,1451631600.0
DAKOTA WEST,52.750,-113.950,AB,-9.6,7,0.3,7.0,7,-23.0,7,11.2,7,NA,13.2,7,NA,,5,,,NA,662.1,0.0,3011953,1451631600.0
DELBURNE AGCM,52.183,-113.176,AB,-8.2,0,NA,8.6,0,-25.7,0,,,NA,13.1,1,NA,,3,,,NA,811.1,0.0,3012050,1451631600.0
DEWBERRY AGCM,53.659,-110.588,AB,-12.0,2,NA,4.9,2,-38.7,0,,,NA,26.8,2,NA,,7,,,NA,869.9,0.0,3012073,1451631600.0
DONALDA SOUTH,52.517,-112.351,AB,-10.3,0,NA,7.0,0,-30.0,0,11.0,0,NA,14.1,0,NA,4.0,9,,,NA,878.1,0.0,3012095,1451631600.0
EDGERTON AGCM,52.778,-110.433,AB,-10.5,4,NA,6.6,3,-36.1,1,,,NA,13.0,4,NA,,5,,,NA,770.3,0.0,3012192,1451631600.0
EDMONTON INTERNATIONAL CS,53.307,-113.606,AB,-11.1,0,NA,7.6,0,-28.0,0,,,NA,,,NA,8.0,,,,NA,901.1,0.0,3012206,1451631600.0
EDMONTON BLATCHFORD,53.573,-113.517,AB,-8.5,1,NA,10.2,1,-25.5,0,,,NA,8.7,1,NA,8.0,2,,,NA,796.3,0.0,3012209,1451631600.0
EDMONTON NAMAO AWOS A,53.667,-113.467,AB,-10.1,0,NA,9.6,0,-30.0,0,,,NA,12.5,0,NA,,3,,,NA,869.8,0.0,3012212,1451631600.0
EDMONTON INTL A,53.310,-113.579,AB,-11.2,0,NA,7.8,0,-27.8,0,7.5,0,NA,6.8,1,NA,11.0,1,,,NA,903.8,0.0,3012216,1451631600.0
EDMONTON VILLENEUVE A,53.668,-113.856,AB,-10.5,0,NA,9.8,0,-26.5,0,,,NA,3.8,0,NA,,1,,,NA,884.2,0.0,3012229,1451631600.0
EDMONTON STONY PLAIN,53.548,-114.108,AB,-8.1,0,1.9,10.7,0,-24.9,0,10.8,0,46.0,7.0,0,33.0,10.0,3,,,NA,807.7,0.0,301222F,1451631600.0
ELK ISLAND NAT PARK,53.683,-112.868,AB,-9.7,0,2.3,12.8,0,-29.3,0,,,NA,14.8,0,81.0,12.0,4,,,NA,857.9,0.0,3012275,1451631600.0
FABYAN,52.967,-111.000,AB,-11.9,0,2.2,5.0,0,-34.0,0,12.4,0,66.0,16.4,0,83.0,0.0,6,,,NA,927.4,0.0,3012515,1451631600.0
FERINTOSH AGCM,52.744,-112.858,AB,-10.0,1,NA,7.3,1,-26.7,1,,,NA,4.8,1,NA,,1,,,NA,840.6,0.0,3012590,1451631600.0
FORESTBURG PLANT SITE,52.467,-112.120,AB,-9.7,2,0.5,7.0,2,-30.0,2,6.4,2,NA,7.4,2,NA,0.0,5,,,NA,804.3,0.0,3012652,1451631600.0
FORESTBURG AGCM,52.548,-112.123,AB,-10.2,0,NA,7.1,0,-29.9,0,,,NA,4.9,1,NA,,0,,,NA,873.9,0.0,3012653,1451631600.0
FORT SASKATCHEWAN,53.717,-113.183,AB,-10.2,20,1.7,9.0,20,-37.0,20,4.5,20,NA,4.5,20,NA,,3,,,NA,310.4,0.0,3012710,1451631600.0
GILT EDGE NORTH AGCM,53.071,-110.621,AB,-11.2,3,NA,6.1,3,-35.3,2,,,NA,22.1,4,NA,,6,,,NA,817.7,0.0,3012790,1451631600.0
GLENEVIS AGCM,53.833,-114.539,AB,-9.5,3,NA,11.2,2,-24.1,1,,,NA,,,NA,,,,,NA,771.1,0.0,3012818,1451631600.0
HALKIRK AGCM,52.116,-112.164,AB,-10.5,0,NA,5.7,0,-28.7,0,,,NA,9.0,9,NA,,2,,,NA,883.7,0.0,3012999,1451631600.0
HEMARUKA AGCM,51.780,-111.212,AB,-11.2,1,NA,7.2,1,-32.2,0,,,NA,9.0,1,NA,,1,,,NA,875.0,0.0,3013140,1451631600.0
HOLDEN AGDM,53.185,-112.246,AB,-11.3,1,NA,7.5,1,-34.0,1,,,NA,26.3,3,NA,,11,,,NA,878.4,0.0,3013340,1451631600.0
HUGHENDEN AGCM,52.578,-110.784,AB,-9.7,7,NA,6.2,6,-32.3,1,,,NA,9.2,9,NA,,2,,,NA,664.9,0.0,3013362,1451631600.0
KILLAM AGDM,52.848,-111.872,AB,-13.0,8,NA,-0.3,7,-32.0,4,,,NA,32.8,9,NA,,13,,,NA,713.6,0.0,3013640,1451631600.0
KESSLER AGCM,52.290,-111.113,AB,-10.5,4,NA,7.9,3,-32.9,1,,,NA,7.3,5,NA,,3,,,NA,769.6,0.0,3013644,1451631600.0
KITSCOTY AGCM,53.353,-110.416,AB,-11.5,0,NA,4.2,0,-35.8,0,,,NA,28.1,1,NA,,10,,,NA,915.0,0.0,3013660,1451631600.0
LEGAL AGCM,54.003,-113.474,AB,-10.6,4,NA,6.6,2,-31.3,2,,,NA,8.8,5,NA,,3,,,NA,770.9,0.0,3013790,1451631600.0
LINDBERGH AGDM,53.943,-110.579,AB,-12.1,2,NA,5.4,2,-38.0,1,,,NA,30.9,3,NA,,8,,,NA,871.6,0.0,3013921,1451631600.0
LLOYDMINSTER,53.309,-110.073,AB,-12.5,3,NA,4.4,3,-32.8,3,,,NA,0.2,5,NA,,0,,,NA,853.2,0.0,3013959,1451631600.0
LLOYDMINSTER A,53.309,-110.073,AB,-11.5,0,2.7,4.8,0,-32.8,0,28.0,0,164.0,36.4,0,231.0,17.0,10,,,NA,914.9,0.0,3013961,1451631600.0
HOLDEN SOUTH,53.083,-112.267,AB,,,NA,,,,,8.4,1,NA,11.4,1,NA,13.0,5,,,NA,,,3013C44,1451631600.0
MANNVILLE AGCM,53.456,-111.255,AB,-11.0,0,NA,4.9,0,-35.0,0,,,NA,24.2,0,NA,,7,,,NA,900.4,0.0,3014195,1451631600.0
MONITOR,52.017,-110.550,AB,,,NA,,,,,7.4,0,41.0,10.0,0,52.0,0.0,4,,,NA,,,3014600,1451631600.0
MUNDARE AGDM,53.567,-112.300,AB,-10.8,5,NA,6.0,3,-32.9,2,,,NA,5.9,9,NA,7.0,1,,,NA,749.7,0.0,3014665,1451631600.0
MYRNAM AGCM,53.720,-111.114,AB,-11.7,7,NA,5.1,5,-39.4,4,,,NA,17.5,10,NA,,4,,,NA,712.4,0.0,3014690,1451631600.0
NEW SEREPTA AGCM,53.262,-113.165,AB,-10.0,0,NA,7.6,0,-27.5,0,,,NA,8.2,0,NA,,1,,,NA,869.5,0.0,3014795,1451631600.0
OLIVER AGDM,53.650,-113.350,AB,-10.9,3,NA,9.5,2,-27.4,1,,,NA,,,NA,,,,,NA,808.6,0.0,3014921,1451631600.0
RADWAY AGCM,53.995,-112.879,AB,-11.5,0,NA,5.6,0,-33.9,0,,,NA,,,NA,,,,,NA,914.6,0.0,3015346,1451631600.0
RANFURLY AUTO,53.425,-111.726,AB,-11.0,0,NA,5.9,0,-31.4,0,,,NA,17.8,0,NA,14.0,4,,,NA,898.8,0.0,3015401,1451631600.0
RIBSTONE SOUTH AGCM,52.587,-110.343,AB,-8.5,12,NA,5.7,9,-33.5,10,,,NA,5.4,12,NA,,1,,,NA,503.4,0.0,3015480,1451631600.0
RIVERCOURSE AGCM,53.019,-110.102,AB,-11.3,2,NA,4.2,1,-34.9,2,,,NA,18.5,3,NA,,5,,,NA,850.6,0.0,3015501,1451631600.0
ROCKY MTN HOUSE (AUT),52.421,-114.912,AB,-11.1,4,NA,12.5,4,-32.7,4,,,NA,18.6,4,NA,25.0,6,,,NA,785.1,0.0,3015523,1451631600.0
ROSALIND AGCM,52.780,-112.428,AB,-10.6,0,NA,6.7,0,-29.7,0,,,NA,6.1,0,NA,,1,,,NA,887.9,0.0,3015600,1451631600.0
ST. LINA AGCM,54.282,-111.453,AB,-11.5,5,NA,5.7,4,-34.9,2,,,NA,19.8,6,NA,,6,,,NA,766.7,0.0,3015673,1451631600.0
ST. PAUL AGCM,54.011,-111.272,AB,,,NA,-6.0,30,-14.9,29,,,NA,,,NA,,,,,NA,,,3015676,1451631600.0
SEDALIA AGCM,51.590,-110.755,AB,-10.8,6,NA,6.0,4,-30.7,4,,,NA,7.0,6,NA,,1,,,NA,719.3,0.0,3015797,1451631600.0
SEDGEWICK TOWN,52.783,-111.700,AB,-9.9,0,3.6,8.0,0,-35.0,0,8.0,0,47.0,21.0,0,121.0,0.0,4,,,NA,863.5,0.0,3015808,1451631600.0
SHONTS AGCM,53.333,-112.539,AB,-10.3,4,NA,7.3,3,-34.3,2,,,NA,14.2,4,NA,,3,,,NA,763.6,0.0,3015900,1451631600.0
SMOKY LAKE AGDM,54.278,-112.499,AB,-13.3,14,NA,0.3,14,-29.4,13,,,NA,7.9,14,NA,,3,,,NA,531.6,0.0,3016022,1451631600.0
SPONDIN AGCM,51.816,-111.683,AB,-11.0,4,NA,6.3,3,-31.6,2,,,NA,11.2,5,NA,,1,,,NA,783.7,0.0,3016070,1451631600.0
STETTLER AGDM,52.347,-112.596,AB,-9.2,3,NA,5.9,3,-28.1,0,,,NA,6.8,3,NA,,1,,,NA,761.2,0.0,3016124,1451631600.0
THORSBY AGCM,53.217,-113.895,AB,-9.1,7,NA,11.0,4,-27.3,3,,,NA,6.6,7,NA,,2,,,NA,650.8,0.0,3016441,1451631600.0
TOMAHAWK AGDM,53.439,-114.718,AB,-8.1,11,NA,5.7,11,-26.4,7,,,NA,6.8,11,NA,,2,,,NA,521.3,0.0,3016505,1451631600.0
TULLIBY LAKE AGCM,53.664,-110.081,AB,-11.5,3,NA,3.7,2,-27.6,1,,,NA,28.3,3,NA,,6,,,NA,827.1,0.0,3016593,1451631600.0
UNCAS,53.500,-113.033,AB,,,NA,,,,,10.8,0,NA,18.4,0,NA,13.0,5,,,NA,,,3016650,1451631600.0
TWO HILLS AGDM,53.625,-111.678,AB,-10.5,6,NA,4.7,5,-30.1,2,,,NA,18.3,7,NA,,4,,,NA,712.7,0.0,3016655,1451631600.0
VERMILION AGDM,53.344,-110.882,AB,-10.7,4,NA,4.8,2,-37.5,2,,,NA,15.3,5,NA,,3,,,NA,775.6,0.0,3016802,1451631600.0
VIKING AGCM,53.182,-111.732,AB,-7.4,18,NA,6.4,11,-26.2,17,,,NA,10.8,19,NA,,2,,,NA,330.7,0.0,3016841,1451631600.0
VIKING NORTH 3,53.283,-111.767,AB,-9.4,2,NA,5.0,1,-34.0,1,9.5,1,NA,14.5,1,NA,11.0,7,,,NA,795.6,0.0,3016845,1451631600.0
VILNA AGCM,54.130,-111.921,AB,-10.9,4,NA,4.8,2,-35.0,2,,,NA,17.1,4,NA,,3,,,NA,780.8,0.0,3016852,1451631600.0
VIOLET GROVE CS,53.144,-115.126,AB,-7.9,1,NA,13.8,1,-25.7,0,,,NA,,,NA,13.0,,,,NA,777.9,0.0,3016860,1451631600.0
VEGREVILLE,53.505,-112.098,AB,-11.3,0,2.0,5.8,0,-35.4,0,,,NA,27.7,0,183.0,13.0,8,,,NA,907.3,0.0,3016GF0,1451631600.0
WETASKIWIN AGCM,52.980,-113.444,AB,-10.6,8,NA,8.6,7,-27.3,1,,,NA,5.0,8,NA,,1,,,NA,656.8,0.0,3017282,1451631600.0
EDMONTON STONY PLAIN CS,53.547,-114.108,AB,-8.4,0,NA,10.9,0,-24.5,0,,,NA,6.3,0,NA,15.0,2,,,NA,817.1,0.0,301A001,1451631600.0
ESTHER 1,51.670,-110.206,AB,-10.2,0,NA,6.6,0,-35.3,0,,,NA,5.8,0,NA,,2,,,NA,875.0,0.0,301B460,1451631600.0
UNIVERSITY OF ALBERTA METABOLIC CENTRE,53.517,-113.533,AB,-9.3,0,2.4,9.5,0,-25.0,0,6.0,0,41.0,6.0,0,41.0,0.0,6,,,NA,845.0,0.0,301FFNJ,1451631600.0
WAINWRIGHT CFB AIRFIELD 21,52.829,-111.096,AB,-11.2,1,NA,6.4,1,-34.2,0,,,NA,13.6,1,NA,8.0,3,,,NA,876.1,0.0,301S001,1451631600.0
ACADIA VALLEY,51.066,-110.317,AB,-9.7,2,NA,8.1,2,-30.2,0,,,NA,2.1,5,NA,,0,,,NA,802.1,0.0,3020035,1451631600.0
ATLEE AGCM,50.810,-111.006,AB,-9.2,2,NA,8.3,2,-27.9,0,,,NA,9.2,3,NA,,2,,,NA,789.9,0.0,3020405,1451631600.0
BEISEKER AGCM,51.379,-113.357,AB,-9.2,0,NA,8.8,0,-28.7,0,,,NA,11.7,0,NA,,3,,,NA,843.4,0.0,3020610,1451631600.0
BIG VALLEY AGCM,51.998,-112.803,AB,-8.9,5,NA,9.7,3,-25.8,3,,,NA,36.5,5,NA,,14,,,NA,698.5,0.0,3020679,1451631600.0
CRAIGMYLE AGCM,51.775,-112.252,AB,-10.1,3,NA,5.1,2,-26.3,2,,,NA,17.1,4,NA,,3,,,NA,785.6,0.0,3021912,1451631600.0
CRAIGMYLE,51.767,-112.283,AB,-10.0,1,1.3,5.0,1,-25.0,1,36.9,1,NA,36.9,1,NA,0.0,7,,,NA,840.1,0.0,3021940,1451631600.0
DRUMHELLER EAST,51.445,-112.677,AB,-10.5,0,NA,9.6,0,-28.3,0,,,NA,,,NA,,,,,NA,882.9,0.0,30221LG,1451631600.0
HESPERO AGCM,52.310,-114.486,AB,-10.2,3,NA,11.1,3,-25.9,0,,,NA,14.0,4,NA,,3,,,NA,789.8,0.0,3023200,1451631600.0
HUSSAR AGDM,51.183,-112.500,AB,-7.6,3,NA,5.8,3,-23.1,1,,,NA,12.5,3,NA,,3,,,NA,716.7,0.0,3023402,1451631600.0
LACOMBE CDA 2,52.449,-113.756,AB,-10.1,0,NA,8.3,0,-25.9,0,,,NA,13.9,0,NA,21.0,3,,,NA,871.0,0.0,3023722,1451631600.0
LEEDALE AGDM,52.553,-114.473,AB,-11.8,0,NA,10.0,0,-29.4,0,,,NA,4.1,2,NA,2.0,2,,,NA,924.6,0.0,3023740,1451631600.0
LINDEN AGCM,51.619,-113.656,AB,-9.9,0,NA,8.0,0,-30.4,0,,,NA,9.3,11,NA,,3,,,NA,864.3,0.0,3023850,1451631600.0
MORRIN AGDM,51.660,-112.675,AB,-10.5,1,NA,7.6,1,-26.8,1,,,NA,14.2,1,NA,,3,,,NA,856.3,0.0,3024668,1451631600.0
OLDS AGDM,51.759,-114.085,AB,-7.3,0,NA,10.7,0,-28.1,0,,,NA,18.5,0,NA,,3,,,NA,783.9,0.0,3024925,1451631600.0
OYEN AGDM,51.383,-110.350,AB,-11.0,10,NA,4.4,8,-32.8,4,,,NA,2.1,11,NA,,0,,,NA,609.8,0.0,3024965,1451631600.0
POLLOCKVILLE AGDM,51.125,-111.705,AB,-10.4,11,NA,7.3,11,-27.0,4,,,NA,8.9,11,NA,,2,,,NA,567.6,0.0,3025243,1451631600.0
PRENTISS,52.433,-113.600,AB,-3.3,19,NA,9.1,9,-17.1,19,,,NA,6.8,19,NA,,1,,,NA,255.5,0.0,3025297,1451631600.0
RED DEER REGIONAL A,52.182,-113.894,AB,-10.8,0,NA,9.9,0,-29.8,0,23.0,0,NA,6.6,1,NA,19.0,2,,,NA,894.2,0.0,3025481,1451631600.0
SCHULER AGDM,50.307,-110.091,AB,-7.5,3,NA,9.6,1,-27.7,2,,,NA,12.8,4,NA,,3,,,NA,712.7,0.0,3025768,1451631600.0
SIBBALD WESTGARD,51.425,-110.146,AB,-10.8,0,NA,7.0,0,-35.5,0,10.0,0,NA,10.0,0,NA,10.0,5,,,NA,894.1,0.0,3025928,1451631600.0
THREE HILLS,51.768,-113.206,AB,-9.8,2,NA,8.0,2,-30.4,0,,,NA,14.9,4,NA,,2,,,NA,805.8,0.0,3026479,1451631600.0
SUNDRE A,51.778,-114.683,AB,-8.8,0,NA,11.9,0,-31.6,0,,,NA,13.2,0,NA,7.0,5,,,NA,829.5,0.0,3026KNQ,1451631600.0
WIMBORNE AGCM,51.936,-113.591,AB,-7.8,5,NA,8.4,5,-27.6,1,,,NA,10.3,7,NA,,1,,,NA,671.3,0.0,3027582,1451631600.0
AZURE,50.512,-114.013,AB,-3.7,4,NA,14.1,2,-30.2,2,,,NA,20.3,7,NA,,11,,,NA,586.8,0.0,3030450,1451631600.0
BARNWELL AGDM,49.800,-112.300,AB,-5.2,9,NA,13.2,5,-27.6,5,,,NA,5.1,11,NA,,1,,,NA,510.1,0.0,3030525,1451631600.0
BARONS AGCM,50.026,-113.224,AB,-6.3,2,NA,12.6,2,-29.0,0,,,NA,4.3,3,NA,,3,,,NA,704.2,0.0,3030529,1451631600.0
BASSANO AGCM,50.893,-112.465,AB,-8.7,1,NA,12.6,1,-26.4,0,,,NA,9.5,1,NA,,3,,,NA,800.3,0.0,3030540,1451631600.0
BLACK DIAMOND,50.707,-114.152,AB,-5.2,4,NA,13.5,4,-28.9,0,,,NA,0.4,25,NA,,0,,,NA,625.2,0.0,3030680,1451631600.0
BLOOD TRIBE AGDM,49.567,-113.050,AB,-4.5,6,NA,13.8,5,-28.6,1,,,NA,2.9,15,NA,,1,,,NA,561.5,0.0,3030720,1451631600.0
BOW ISLAND,49.734,-111.450,AB,-6.3,0,NA,11.5,0,-27.7,0,,,NA,11.1,0,NA,,3,,,NA,754.6,0.0,3030768,1451631600.0
BOW ISLAND IRRIGATION AGDM,49.867,-111.383,AB,-6.3,0,NA,11.4,0,-26.3,0,,,NA,11.1,1,NA,,5,,,NA,754.6,0.0,3030772,1451631600.0
BROCKET AGDM,49.617,-113.817,AB,-3.6,0,NA,8.4,0,-29.6,0,,,NA,12.1,10,NA,,3,,,NA,669.3,0.0,3030830,1451631600.0
BROOKS,50.555,-111.849,AB,-8.2,0,NA,13.4,0,-26.3,0,,,NA,8.4,0,NA,0.0,3,,,NA,811.1,0.0,3030QLP,1451631600.0
CALGARY INTL A,51.123,-114.013,AB,-5.4,0,NA,12.8,0,-25.5,0,15.3,0,NA,12.1,0,NA,1.0,4,,,NA,724.0,0.0,3031092,1451631600.0
CALGARY INT'L CS,51.109,-114.000,AB,-6.0,0,NA,10.7,0,-26.0,0,,,NA,7.0,0,NA,0.0,2,,,NA,744.4,0.0,3031094,1451631600.0
CARDSTON,49.201,-113.286,AB,-3.5,0,NA,13.2,0,-25.5,0,,,NA,25.1,0,NA,,4,,,NA,666.3,0.0,3031322,1451631600.0
CARWAY,49.001,-113.376,AB,-4.0,1,NA,11.6,0,-22.9,1,,,NA,22.1,2,NA,2.0,4,,,NA,658.7,0.0,3031402,1451631600.0
CHAMPION AGDM,50.282,-113.350,AB,-6.5,0,NA,12.9,0,-26.5,0,,,NA,4.3,0,NA,,1,,,NA,759.7,0.0,3031480,1451631600.0
CLARESHOLM,50.004,-113.639,AB,-5.3,0,NA,14.1,0,-27.6,0,,,NA,9.1,0,NA,1.0,3,,,NA,721.0,0.0,3031640,1451631600.0
COP UPPER,51.076,-114.222,AB,-4.0,0,NA,10.9,0,-19.8,0,,,NA,7.9,0,NA,,2,,,NA,682.3,0.0,3031875,1451631600.0
ENCHANT AGDM,50.183,-112.433,AB,-5.9,4,NA,12.0,4,-28.5,0,,,NA,7.6,5,NA,,4,,,NA,645.7,0.0,3032422,1451631600.0
ETZIKOM AGCM,49.553,-111.054,AB,-7.2,3,NA,10.1,2,-25.9,2,,,NA,8.6,4,NA,,2,,,NA,705.0,0.0,3032450,1451631600.0
FINCASTLE AGDM,49.800,-112.033,AB,-5.2,0,NA,13.2,0,-28.2,0,,,NA,11.7,0,NA,,4,,,NA,720.7,0.0,3032550,1451631600.0
FOREMOST AGDM,49.483,-111.486,AB,-6.3,5,NA,11.7,4,-26.9,2,,,NA,4.5,10,NA,,1,,,NA,632.4,0.0,3032642,1451631600.0
FORT MACLEOD AGCM,49.786,-113.379,AB,-5.0,0,NA,12.2,0,-27.1,0,,,NA,8.1,6,NA,,3,,,NA,711.8,0.0,3032683,1451631600.0
GLEICHEN AGCM,50.934,-112.941,AB,-7.4,0,NA,10.5,0,-25.1,0,,,NA,5.0,18,NA,,1,,,NA,787.3,0.0,3032801,1451631600.0
GRASSY LAKE,49.874,-111.733,AB,-5.7,1,NA,13.5,1,-27.3,0,,,NA,9.6,2,NA,,2,,,NA,712.0,0.0,3032927,1451631600.0
IRON SPRINGS AGDM,49.900,-112.733,AB,-4.9,3,NA,11.7,3,-21.6,1,,,NA,8.6,4,NA,,3,,,NA,641.6,0.0,3033498,1451631600.0
IRVINE AGCM,49.989,-110.261,AB,-5.8,1,NA,13.0,0,-26.2,1,,,NA,6.5,3,NA,,3,,,NA,712.6,0.0,3033550,1451631600.0
LETHBRIDGE,49.630,-112.799,AB,-6.2,3,NA,13.8,3,-29.1,3,,,NA,4.3,3,NA,,2,,,NA,678.1,0.0,3033875,1451631600.0
LETHBRIDGE CDA,49.695,-112.768,AB,-4.5,0,NA,12.9,0,-25.8,0,,,NA,8.0,0,NA,,2,,,NA,696.2,0.0,3033890,1451631600.0
LETHBRIDGE CDA 2,49.700,-112.783,AB,,,NA,,,,,12.0,0,NA,9.2,0,NA,2.0,4,,,NA,,,3033892,1451631600.0
LETHBRIDGE DEMO FARM AGDM,49.683,-112.750,AB,-5.0,1,NA,12.8,1,-27.0,0,,,NA,10.3,1,NA,,3,,,NA,690.9,0.0,3033897,1451631600.0
MEDICINE HAT,50.019,-110.721,AB,-6.4,0,NA,12.0,0,-26.1,0,,,NA,0.8,22,NA,,0,,,NA,757.5,0.0,3034479,1451631600.0
MEDICINE HAT RCS,50.025,-110.717,AB,-6.5,0,NA,11.6,0,-25.9,0,,,NA,7.6,0,NA,,3,,,NA,758.0,0.0,3034485,1451631600.0
MOSSLEIGH AGCM,50.673,-113.349,AB,-5.9,9,NA,13.2,5,-27.4,5,,,NA,5.1,9,NA,,3,,,NA,525.8,0.0,3034577,1451631600.0
NIER AGDM,51.369,-114.099,AB,-5.3,2,NA,11.4,1,-23.0,1,,,NA,4.7,3,NA,,1,,,NA,674.5,0.0,3034795,1451631600.0
PINCHER CREEK,49.521,-113.997,AB,-4.3,3,NA,7.9,3,-24.1,3,,,NA,10.0,4,NA,,3,,,NA,624.1,0.0,3035198,1451631600.0
PINCHER CREEK CLIMATE,49.522,-114.005,AB,-4.0,0,NA,7.9,0,-24.8,0,,,NA,20.5,0,NA,1.0,6,,,NA,682.8,0.0,3035208,1451631600.0
QUEENSTOWN,50.606,-112.983,AB,-6.1,0,1.4,13.5,0,-26.0,0,14.0,0,98.0,14.0,0,97.0,0.0,7,,,NA,747.8,0.0,3035340,1451631600.0
QUEENSTOWN,50.598,-112.803,AB,-6.4,2,NA,11.0,2,-23.5,0,,,NA,17.3,2,NA,,7,,,NA,708.5,0.0,3035342,1451631600.0
RAYMOND AGDM,49.483,-112.683,AB,-3.8,2,NA,13.7,2,-30.7,0,,,NA,7.9,8,NA,,2,,,NA,631.0,0.0,3035422,1451631600.0
ROLLING HILLS AGCM,50.265,-111.701,AB,-6.5,3,NA,13.1,3,-28.6,0,,,NA,4.1,3,NA,,2,,,NA,684.9,0.0,3035530,1451631600.0
ROSEMARY AGDM,50.833,-112.050,AB,-10.3,5,NA,7.9,5,-27.1,1,,,NA,13.8,9,NA,,4,,,NA,734.9,0.0,3035650,1451631600.0
SEVEN PERSONS AGDM,49.917,-110.917,AB,-6.5,0,NA,11.1,0,-24.8,0,,,NA,10.5,0,NA,,7,,,NA,758.0,0.0,3035845,1451631600.0
STANDARD AGCM,51.228,-112.982,AB,-6.3,1,NA,10.9,0,-23.7,1,,,NA,13.6,2,NA,,3,,,NA,730.4,0.0,3036086,1451631600.0
STAVELY AAFC,50.183,-113.883,AB,-1.4,0,NA,13.6,0,-18.6,0,,,NA,15.6,0,NA,,7,,,NA,602.5,0.0,3036099,1451631600.0
STRATHMORE AGDM,51.033,-113.283,AB,-6.7,0,NA,9.7,0,-23.1,0,,,NA,13.2,4,NA,,2,,,NA,767.1,0.0,3036205,1451631600.0
TABER,49.792,-112.124,AB,-5.8,13,NA,13.5,8,-27.0,9,29.0,8,NA,29.0,8,NA,,8,,,NA,428.2,0.0,3036360,1451631600.0
TRAVERS AGCM,50.304,-112.863,AB,-5.1,3,NA,8.4,3,-21.6,1,,,NA,7.4,3,NA,,4,,,NA,646.3,0.0,3036500,1451631600.0
VAUXHALL CDA CS,50.050,-112.133,AB,-6.7,0,NA,12.6,0,-29.6,0,,,NA,9.4,0,NA,,3,,,NA,766.3,0.0,3036682,1451631600.0
